Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,Tarlac,,"Anao Bamban Camiling Capas Concepcion Gerona
La Paz Mayantoc Moncada Paniqui Pura Ramos
San Clemente San Manuel Santa Ignacia Tarlac City Victoria","13.9
7.6
10.7
11.3
12.4
13.9
21.2
24.2
14.5
8.4
13.3
19.0
24.2
16.7
23.9
7.1
21.6","18.0
10.6
15.8
13.2
13.5
17.6
17.0
28.3
15.9
12.8
14.7
16.7
18.2
17.0
21.8
8.7
20.2","2.4
2.8
1.3
2.9
2.2
1.7
3.0
2.9
2.3
1.4
3.0
3.9
4.8
3.3
3.0
1.0
2.8","3.3
3.4
1.8
2.5
1.9
2.2
2.5
4.0
2.1
1.6
2.7
3.2
3.1
3.1
2.9
0.8
2.7","17.3
37.2
12.1
25.9
17.5
12.0
13.9
12.1
16.0
16.5
22.4
20.7
19.9
19.6
12.6
14.6
13.1","18.1
32.0
11.6
19.3
13.9
12.4
14.5
14.0
13.4
12.5
18.1
19.2
17.3
18.4
13.1
9.5
13.3"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,San Jose,37.8,32.1,5.8,3.9,15.3,12.1
,Zambales,,"Botolan Cabanglan Candelabra Castillejos Iba Masinloc
Olongapo City Paluig
San Antonio San Felipe San Marcelino San Narciso Santa Cruz Subic","22.4
9.2
13.1
6.2
10.9
15.1
4.7
19.2
11.4
7.7
12.5
9.0
18.2
7.9","17.4
21.2
18.2
12.5
12.5
18.2
4.5
21.3
12.0
14.5
14.8
10.7
18.7
11.5","4.3
2.2
2.7
2.1
3.0
2.5
1.3
3.3
3.0
2.2
2.5
1.7
2.6
1.9","2.4
2.7
2.9
2.6
2.8
3.4
1.6
2.7
2.1
3.7
2.0
2.1
2.7
2.5","19.2
24.2
20.5
34.4
27.1
16.4
28.2
17.2
26.8
28.5
19.9
19.0
14.3
24.3","14.0
12.5
16.1
21.1
22.2
18.4
35.1
12.7
17.8
25.4
13.5
19.4
14.3
21.8"
,Aurora,,Baler Casiguran Dilasag Dinalungan Dingalan Dipaculao Maria Aurora San Luis,"11.6
29.1
34.8
31.0
29.3
28.5
18.4
26.0","9.6
19.7
19.2
25.6
14.5
17.9
13.2
13.8","2.6
4.0
5.6
5.0
5.6
3.7
2.3
3.9","2.2
3.5
3.9
4.9
4.2
3.1
2.0
3.1","22.2
13.7
16.0
16.2
18.9
12.9
12.3
14.9","23.4
17.5
20.4
19.2
28.8
17.3
15.4
22.0"
Region IV-A,Batangas,,"Agoncillo Alitagtag Balayan Balete Batangas City Bauan Calaca Calatagan Cuenca
Ibaan Laurel Lemery Lian Lipa City Lobo Mabini Malvar
Mataas Na Kahoy Nasugbu
Padre Garcia Rosario
San Jose San Juan San Luis San Nicolas San Pascual
Santa Teresita Santo Tomas Taal
Talisay
City Of Tanauan Taysan
Tingloy Tuy","19.3
7.5
17.2
24.6
8.1
6.1
28.1
28.8
8.7
14.8
29.8
19.6
25.6
5.1
39.5
12.6
7.5
8.7
17.9
17.3
22.3
11.6
24.1
14.9
8.5
7.4
12.5
10.0
4.6
7.5
7.1
21.2
44.0
26.6","15.4
8.6
14.1
17.2
7.1
2.7
17.8
21.9
9.9
12.1
21.8
14.3
16.5
3.9
19.1
11.7
6.5
9.8
17.3
16.5
16.8
11.2
15.4
9.5
5.3
5.8
9.4
8.6
4.1
5.6
4.0
16.6
26.2
18.0","3.2
2.2
2.1
4.4
1.0
1.5
3.5
3.2
2.5
2.6
4.5
2.3
3.5
1.1
5.2
2.0
2.1
2.2
2.5
3.7
2.7
2.6
2.6
2.9
2.2
1.8
2.7
2.0
1.2
1.9
1.2
3.4
5.0
3.4","1.9
1.5
1.3
2.8
0.7
0.7
1.7
2.4
1.6
1.8
2.5
1.3
2.4
0.6
2.1
1.5
1.5
2.0
2.0
2.5
1.4
1.7
1.7
1.6
1.5
1.2
2.0
1.4
1.0
1.5
0.7
2.0
2.7
1.9","16.6
28.8
12.2
18.0
11.7
23.8
12.5
11.0
29.2
17.3
15.1
11.6
13.6
20.9
13.1
15.8
27.6
24.8
13.7
21.1
12.0
22.1
10.8
19.1
26.2
23.9
22.0
19.7
25.4
25.5
17.4
16.1
11.4
12.9","12.1
17.0
9.0
16.2
9.7
24.4
9.4
10.8
16.5
15.0
11.3
8.9
14.7
16.3
10.7
12.9
22.2
20.1
11.3
15.4
8.1
15.3
11.0
17.1
27.5
20.1
20.8
16.3
23.2
26.3
16.6
12.2
10.5
10.6"
,Cavite,,"Alfonso Amadeo Bacoor Carmona Cavite City Dasmariñas
General Emilio Aguinaldo General Trias
Imus Indang Kawit Magallanes
Maragondon
Mendez (Mendez-Nuñez) Naic
Noveleta Rosario Silang Tagaytay City Tanza Ternate
Trece Martires City Gen. Mariano Alvarez","17.3
13.4
5.2
5.0
4.7
5.2
22.0
4.8
3.0
9.6
5.8
28.7
22.2
7.6
11.6
2.9
7.8
11.6
7.6
8.3
12.0
3.9
4.4","13.8
6.3
3.6
3.4
5.5
5.3
13.7
3.5
2.3
6.7
4.8
19.4
16.3
4.5
8.4
3.0
5.9
11.0
5.6
5.4
16.5
4.3
5.7","2.4
2.4
1.0
1.9
0.8
1.1
3.5
1.6
0.6
1.7
1.4
4.6
3.1
2.1
2.0
1.1
2.0
1.8
1.7
1.4
3.6
1.4
1.2","1.6
1.2
0.6
1.7
0.9
0.8
2.1
1.0
0.4
0.9
1.1
2.7
2.2
1.1
1.5
1.0
1.3
1.3
1.0
1.0
2.8
1.3
1.1","14.1
17.8
19.7
37.3
16.7
21.5
15.9
34.2
19.7
17.6
23.7
16.1
14.1
27.6
17.3
39.4
25.8
15.4
21.9
16.5
30.0
35.6
28.0","11.9
19.2
17.1
48.4
15.5
15.8
15.4
29.3
16.2
13.5
22.5
13.8
13.3
23.5
18.1
34.8
22.4
11.6
18.4
17.8
16.8
30.9
19.7"
,Laguna,,"Alaminos Bay Biñan Cabuyao
Calamba City Calauan Cavinti
Famy Kalayaan Liliw
Los Baños Luisiana Lumban Mabitac Magdalena Majayjay Nagcarlan Paete Pagsanjan Pakil Pangil
Pila Rizal
San Pablo City San Pedro Santa Cruz Santa Maria Santa Rosa City","5.4
6.3
2.0
2.9
2.4
16.6
13.5
15.8
17.7
10.5
2.6
8.7
6.9
11.4
12.4
24.4
9.4
2.2
2.8
14.4
11.8
5.3
5.7
3.5
1.9
3.4
20.6
1.7","6.4
2.8
1.7
1.7
2.0
12.0
11.5
11.0
12.8
7.6
1.6
8.2
7.2
14.4
13.8
13.4
7.3
3.2
2.8
8.9
7.4
3.4
5.8
2.7
1.4
2.3
16.8
1.5","1.6
1.8
0.8
1.1
0.7
3.2
3.3
3.9
7.0
2.0
1.1
2.6
1.8
3.1
2.6
4.2
1.8
1.3
1.1
3.2
3.9
1.9
2.4
0.7
0.9
1.1
3.1
0.8","1.6
1.0
0.7
0.7
0.5
1.9
1.9
2.5
5.0
1.5
0.8
1.5
1.7
2.7
2.1
1.7
1.2
1.7
0.9
2.2
2.2
1.0
1.7
0.5
0.6
0.8
2.1
0.6","30.4
28.8
40.9
38.1
29.8
19.2
24.2
24.7
39.4
19.1
41.3
29.6
26.0
27.0
21.1
17.4
19.4
61.8
38.2
21.8
32.8
35.6
41.8
19.9
49.0
32.7
15.0
46.0","25.5
36.5
43.1
38.9
25.9
16.1
16.5
22.6
39.4
19.2
46.0
17.9
23.5
18.7
15.2
12.7
16.9
53.3
32.9
24.6
29.3
30.4
30.1
19.8
41.1
33.5
12.2
40.1"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,Siniloan Victoria,"9.5
5.6","11.4
3.7","2.2
2.6","2.2
1.5","22.6
45.5","19.7
39.1"
,Quezon,,"Agdangan Alabat Atimonan Buenavista Burdeos Calauag Candelaria Catanauan Dolores General Luna General Nakar Guinayangan Gumaca Infanta Jomalig
Lopez Lucban Lucena City Macalelon Mauban Mulanay Padre Burgos Pagbilao Panukulan Patnanungan Perez
Pitogo Plaridel Polillo Quezon Real Sampaloc San Andres San Antonio
San Francisco (Aurora) San Narciso
Sariaya Tagkawayan Tayabas Tiaong Unisan","41.9
30.0
16.6
74.4
52.3
43.4
10.0
50.0
16.6
42.4
49.7
46.9
19.7
26.4
74.9
38.9
12.2
5.4
55.7
29.3
66.3
33.6
12.9
54.9
71.2
50.5
37.0
15.6
36.5
49.8
26.0
18.7
78.3
15.8
63.5
68.7
21.0
41.8
12.4
16.2
40.4","19.8
17.0
12.7
34.9
39.3
25.8
10.6
27.8
13.3
27.5
27.8
27.5
16.7
15.0
39.0
21.7
5.2
3.6
29.5
21.5
31.5
17.2
13.4
34.5
36.0
29.7
24.2
12.3
27.0
29.2
17.1
11.9
39.0
16.7
41.4
41.1
14.5
23.7
10.5
13.8
21.2","5.6
4.0
2.4
5.4
5.5
3.9
2.2
4.7
4.1
3.8
5.5
4.5
2.3
3.5
7.6
3.6
2.4
1.5
5.7
3.2
6.4
4.4
2.3
6.3
8.0
6.1
3.6
3.9
4.5
4.6
3.9
4.3
6.4
2.9
5.8
5.0
2.9
4.3
2.1
2.8
4.3","2.6
1.9
1.4
2.3
3.8
1.8
1.6
2.0
2.5
2.5
3.0
1.8
1.6
2.3
5.1
1.4
1.3
0.9
2.5
1.9
2.5
2.4
2.0
3.3
5.7
3.3
2.0
2.2
2.2
2.5
2.0
2.2
5.2
2.4
3.3
3.3
1.7
2.0
1.4
1.9
1.6","13.4
13.3
14.5
7.2
10.5
8.9
22.0
9.4
24.4
9.0
11.1
9.6
11.7
13.1
10.1
9.3
19.5
27.3
10.3
10.9
9.7
13.1
17.5
11.5
11.3
12.2
9.7
24.8
12.2
9.2
14.9
23.1
8.1
18.1
9.2
7.3
13.6
10.2
16.6
17.5
10.7","12.9
11.3
11.1
6.5
9.6
6.8
15.1
7.1
18.4
9.0
10.9
6.5
9.3
15.2
13.2
6.5
24.7
24.7
8.3
9.0
7.9
13.7
14.9
9.5
15.8
11.2
8.2
17.7
8.3
8.6
11.8
18.8
13.3
14.4
7.9
8.1
11.8
8.3
13.0
13.5
7.6"
,Rizal,,"Angono Antipolo City Baras Binangonan Cainta Cardona Jala-Jala
Rodriguez (Montalban) Morong
Pililla
San Mateo Tanay Taytay Teresa","2.5
4.7
9.0
5.0
2.8
6.5
14.9
5.8
4.8
5.7
3.6
10.4
2.8
2.7","2.4
3.6
11.4
4.0
1.4
5.5
15.7
4.5
2.2
5.9
2.2
10.5
3.2
3.3","1.6
1.5
3.3
1.3
1.7
2.0
3.5
2.3
2.2
2.0
1.4
2.7
1.8
1.5","1.2
1.0
2.8
0.8
0.8
1.6
2.5
1.6
1.1
2.0
0.8
2.0
1.5
1.6","62.2
33.0
36.1
26.1
59.4
30.7
23.5
38.5
44.9
35.1
38.0
25.5
63.7
55.1","49.4
29.3
24.8
19.5
56.6
28.3
16.0
35.3
50.0
33.3
37.6
18.9
47.1
47.3"
Region IV-B,Marinduque,,Boac Buenavista Gasan Mogpog Santa Cruz Torrijos,"24.7
50.3
39.4
31.8
40.9
50.0","26.5
36.9
30.7
26.8
30.6
35.2","2.9
5.1
4.7
3.5
4.2
3.9","2.3
4.8
3.8
3.0
2.6
4.2","11.8
10.1
12.0
10.9
10.4
7.9","8.6
13.0
12.4
11.1
8.5
12.0"
,Occidental Mindoro,,Abra de Ilog Calintaan Looc Lubang Magsaysay Mamburao Paluan Rizal Sablayan San Jose Santa Cruz,"54.8
41.5
30.4
18.3
51.4
30.8
58.7
48.1
46.3
30.1
50.8","37.5
34.2
32.4
23.8
38.3
28.9
38.0
36.0
34.8
29.8
38.1","6.7
6.5
5.0
4.1
6.0
5.4
5.1
5.5
4.1
3.6
6.2","6.1
6.4
5.5
3.7
6.0
5.3
6.0
5.4
4.5
3.0
6.1","12.2
15.7
16.3
22.3
11.7
17.6
8.7
11.5
8.9
12.1
12.2","16.4
18.7
17.0
15.7
15.8
18.2
15.6
15.0
12.9
10.2
16.0"
,Oriental Mindoro,,"Baco Bansud Bongabong Bulalacao Calapan City Gloria Mansalay Naujan Pinamalayan Pola
Puerto Galera Roxas
San Teodoro Socorro Victoria","57.2
45.2
45.2
71.3
21.6
31.3
54.5
43.2
33.0
41.9
35.4
24.3
40.8
36.6
34.4","44.5
39.0
35.8
51.5
23.0
35.5
41.8
38.4
31.7
37.9
23.9
29.7
33.6
36.8
35.2","4.1
5.2
4.0
5.6
3.1
4.5
4.7
2.6
3.1
4.3
6.0
4.0
6.2
4.2
3.6","3.9
5.6
3.4
6.3
2.4
3.7
5.5
3.2
3.1
4.5
4.2
3.8
5.3
4.2
3.4","7.2
11.6
8.9
7.9
14.3
14.2
8.6
6.0
9.3
10.3
17.0
16.5
15.2
11.4
10.5","8.8
14.4
9.4
12.3
10.4
10.5
13.2
8.3
9.7
11.7
17.4
12.9
15.8
11.5
9.6"
,Palawan,,"Aborlan Agutaya Araceli Balabac Bataraza Brooke's Point Busuanga Cagayancillo Coron
Cuyo Dumaran El Nido Linapacan Magsaysay Narra
Puerto Princesa City Quezon
Roxas
San Vicente","37.3
42.8
43.9
52.4
44.2
36.1
40.2
74.5
33.2
28.8
62.2
47.3
63.4
34.8
27.5
9.2
25.4
29.4
38.4","23.4
36.1
35.1
44.2
27.5
26.7
26.5
36.6
28.4
20.4
41.6
29.7
18.1
17.6
21.4
15.5
34.0
24.9
25.6","4.5
8.1
6.2
7.5
5.8
4.6
5.8
7.3
4.9
3.9
6.1
5.5
7.5
5.6
4.2
1.9
5.1
3.5
6.2","4.1
8.6
5.8
8.0
4.5
3.7
4.8
7.7
4.6
3.5
5.7
5.0
5.3
3.6
3.8
2.2
5.6
3.4
4.7","12.0
19.0
14.1
14.3
13.0
12.8
14.5
9.8
14.7
13.5
9.8
11.7
11.9
16.1
15.1
21.2
20.3
11.7
16.1","17.7
23.9
16.5
18.0
16.2
13.7
18.0
21.1
16.1
17.2
13.8
16.9
29.5
20.6
17.5
14.2
16.5
13.6
18.2"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Taytay Culion Rizal
Sofronio Espanola","54.5
40.8
43.7
42.0","35.1
28.5
32.7
30.1","4.4
6.0
6.1
5.8","4.1
4.7
5.9
6.0","8.0
14.8
13.9
13.8","11.6
16.3
18.2
19.8"
,Romblon,,"Alcantara Banton Cajidiocan Calatrava Concepcion Corcuera Looc Magdiwang Odiongan Romblon San Agustin San Andres
San Fernando San Jose Santa Fe Ferrol
Santa Maria","32.8
42.4
47.4
47.3
40.3
60.4
33.3
48.8
27.6
51.4
42.5
45.1
53.1
65.8
53.5
42.9
48.8","37.3
38.0
50.4
47.4
41.9
46.6
48.8
45.9
35.9
39.2
43.5
45.5
47.4
50.5
50.1
45.7
45.7","5.2
4.8
5.6
6.3
5.9
6.2
4.5
5.7
3.4
7.6
5.2
5.5
6.0
6.8
5.0
7.1
6.9","6.5
5.9
6.5
8.1
4.9
6.1
6.3
6.7
4.5
5.4
6.1
6.7
6.9
8.4
6.4
7.6
8.0","15.8
11.2
11.8
13.4
14.6
10.2
13.6
11.6
12.2
14.8
12.2
12.2
11.2
10.4
9.3
16.5
14.2","17.4
15.6
12.8
17.2
11.6
13.0
12.9
14.5
12.6
13.8
14.0
14.7
14.5
16.6
12.7
16.6
17.5"
Region V,Albay,,"Bacacay Camalig Daraga (Locsin) Guinobatan Jovellar Legazpi City Libon
Ligao City Malilipot Malinao Manito Oas
Pio Duran Polangui Rapu-Rapu
Santo Domingo Tabacco City Tiwi","40.3
42.1
29.4
39.1
58.3
26.2
55.8
45.9
34.9
47.3
49.0
48.4
57.7
39.2
53.5
32.1
33.3
38.1","40.1
38.7
29.7
37.2
52.7
30.7
48.3
40.5
37.3
40.2
45.4
42.9
51.3
37.8
58.6
34.2
35.1
37.9","3.0
2.6
2.7
2.5
3.8
3.2
3.1
3.0
4.1
3.2
4.1
2.8
3.6
2.8
3.7
3.3
3.4
3.5","2.4
2.2
2.0
2.2
3.7
2.1
2.7
2.2
3.4
2.8
4.1
2.2
3.0
2.4
3.2
2.8
2.3
2.9","7.4
6.2
9.1
6.4
6.6
12.3
5.6
6.5
11.7
6.8
8.3
5.7
6.2
7.0
6.9
10.3
10.2
9.3","6.0
5.8
6.7
5.9
7.1
6.7
5.6
5.3
9.0
7.0
9.1
5.1
5.8
6.2
5.5
8.3
6.5
7.6"
,Camarines Norte,,"Basud Capalonga Daet
San Lorenzo Ruiz Jose Panganiban Labo
Mercedes Paracale San Vicente Santa Elena Talisay Vinzons","36.9
48.4
16.6
43.4
32.9
34.9
42.4
36.2
35.3
50.3
32.1
42.9","38.3
48.2
21.0
45.4
37.3
36.5
43.4
35.6
34.7
43.1
28.6
42.1","3.7
4.3
2.8
6.0
3.3
2.3
3.7
3.2
5.4
5.2
4.2
4.2","2.8
3.3
2.1
5.1
3.0
2.1
3.0
2.8
4.3
3.7
3.1
3.4","10.0
8.9
17.0
13.7
9.9
6.5
8.8
8.9
15.2
10.3
13.2
9.7","7.4
6.8
9.9
11.3
7.9
5.8
7.0
7.8
12.4
8.7
10.9
8.1"
,Camarines Sur,,"Baao Balatan Bato Bombon Buhi Bulaa Cabusao
Calabanga Camaligan Canaman Caramoan Del Gallego Gainza Garchitorena Goa
Iriga City Lagonoy Libmanan Lupi Magarao Milaor Minalabac Nabua Naga City Ocampo Pamplona Pasacao Pili
Presentacion Ragay Sagnay
San Fernando San Jose Sipocot Siruma Tigaon Tinambac","40.1
50.6
38.9
35.4
41.0
46.0
43.8
38.8
22.6
27.3
51.7
51.6
41.3
58.4
33.9
25.8
37.8
51.1
57.5
32.7
36.9
51.5
31.9
16.6
51.1
48.1
50.0
34.0
52.8
47.6
48.3
40.0
35.2
44.0
56.3
39.3
51.3","37.4
50.0
40.1
35.1
44.0
46.0
46.1
42.7
29.4
32.4
53.5
52.4
46.0
59.0
41.2
31.5
46.7
46.9
49.9
40.3
36.6
48.4
35.5
24.4
43.8
46.7
48.7
33.1
50.2
46.4
51.8
41.6
39.1
43.8
58.1
41.9
53.2","3.5
5.1
3.8
5.9
2.9
3.6
5.7
2.8
4.3
3.0
2.9
4.3
6.0
5.1
3.4
2.7
3.1
2.6
3.7
3.7
3.5
4.0
3.1
2.6
3.6
4.4
4.8
3.3
5.6
3.4
3.9
3.7
3.3
2.6
4.4
3.9
3.3","3.4
4.1
2.9
5.1
2.7
3.2
5.6
2.6
4.0
2.8
2.9
3.4
6.2
3.2
2.8
2.5
3.1
2.7
3.4
4.7
3.3
3.6
3.0
2.4
3.1
3.8
4.7
2.4
4.6
3.1
3.6
3.1
3.2
2.7
4.0
2.9
3.3","8.7
10.1
9.8
16.8
7.1
7.7
13.0
7.3
19.2
10.9
5.6
8.2
14.5
8.7
10.1
10.4
8.1
5.1
6.4
11.3
9.6
7.7
9.7
15.3
7.1
9.2
9.6
9.8
10.6
7.2
8.2
9.3
9.4
5.9
7.8
10.0
6.4","8.1
7.1
14.4
6.2
6.9
12.0
6.1
13.5
8.5
5.4
6.6
13.5
5.4
6.8
7.8
6.6
5.7
6.7
11.7
8.9
7.4
8.6
9.8
7.1
8.1
9.6
7.4
9.1
6.6
7.0
7.6
8.1
6.2
6.8
6.9
6.3"
,Catanduanes,,"Bagamanoc Baras
Bato Caramoran Gigmoto Pandan Panganiban San Andres San Miguel Viga
Virac","38.8
48.2
33.1
48.4
44.2
45.9
38.8
39.2
52.2
40.3
19.9","38.0
39.0
30.9
49.7
41.5
45.0
35.0
36.6
36.5
41.2
22.7","4.0
4.4
3.8
3.8
5.1
3.6
3.6
3.5
4.4
3.3
2.2","4.0
2.7
2.7
3.9
4.2
3.2
3.9
2.6
2.9
2.8
1.5","10.2
9.1
11.3
7.9
11.5
7.9
9.1
8.8
8.4
8.1
11.1","10.4
7.0
8.6
7.8
10.0
7.1
11.3
7.1
7.9
6.7
6.4"
,Masbate,,Aroroy Baleno Balud Batuan Cataingan Cawayan Claveria Dimasalang Esperanza,"49.0
41.2
55.1
34.5
52.5
50.9
47.9
46.0
49.9","45.5
39.7
43.1
37.0
41.5
47.6
46.7
41.3
45.5","3.2
4.1
3.9
4.2
3.7
3.5
3.5
4.1
4.1","3.2
3.5
3.7
4.2
2.8
3.2
4.1
3.3
3.5","6.6
10.1
7.1
12.2
7.1
6.8
7.2
9.0
8.2","7.0
8.7
8.7
11.4
6.6
6.7
8.8
7.9
7.6"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Mandaon Masbate City Milagros Mobo Monreal Palanas
Pio V. Corpuz Placer
San Fernando San Jacinto San Pascual Uson","52.3
29.1
52.1
45.8
54.9
53.0
40.5
59.0
34.6
39.6
61.7
54.5","41.1
28.9
45.3
37.4
44.7
40.4
43.8
47.0
38.1
39.1
52.7
42.9","4.0
3.1
3.4
3.6
5.0
4.1
4.6
3.8
3.4
4.1
4.4
4.0","3.3
2.3
3.2
3.0
4.2
3.2
3.8
3.2
3.0
3.7
3.4
2.9","7.7
10.5
6.5
7.9
9.0
7.8
11.5
6.5
9.7
10.4
7.1
7.4","8.1
8.0
7.0
8.0
9.4
8.0
8.6
6.8
7.9
9.5
6.5
6.8"
,Sorsogon,,"Bacon Barcelona Bulan Bulusan Casiguran Castilla Donsol Gubat Irosin Juban Magallanes Matnog Pilar
Prieto Diaz
Santa Magdalena Sorsogon City","35.4
37.2
40.7
35.3
41.8
52.9
54.6
31.7
33.4
44.1
53.4
46.7
54.8
40.1
32.4
23.6","36.2
39.1
38.8
32.9
38.9
44.4
47.3
33.6
34.2
41.6
44.6
43.2
44.3
36.7
35.8
27.6","3.1
3.3
2.5
3.6
3.2
3.9
3.1
2.5
3.4
3.9
3.5
2.9
3.2
3.7
4.1
3.2","2.7
3.1
2.6
2.6
3.1
3.0
3.1
2.4
2.7
3.3
3.5
2.8
2.5
3.1
3.8
2.3","8.6
8.8
6.2
10.2
7.6
7.4
5.6
7.9
10.2
8.8
6.6
6.1
5.8
9.1
12.8
13.6","7.5
7.9
6.6
8.0
7.9
6.8
6.6
7.2
7.9
8.0
7.8
6.6
5.5
8.5
10.6
8.3"
Region VI,Aklan,,"Altavas Balete Banga Batan Buruanga Ibajay Kalibo Lezo Libacao Madalag Makato Malay Malinao Nabas
New Washington Numancia Tangalan","34.3
45.1
23.4
27.7
33.8
36.3
7.8
16.0
43.3
51.2
25.6
27.6
37.0
36.6
28.3
11.0
43.6","48.9
52.7
39.6
45.7
47.0
39.6
24.9
39.1
62.3
63.3
48.9
24.8
43.3
36.9
42.0
24.4
42.5","3.7
5.6
2.6
4.1
4.4
2.9
1.7
2.6
4.8
4.3
2.7
4.8
3.5
3.4
3.3
2.2
4.6","4.6
5.0
2.9
4.2
4.5
3.4
3.3
4.1
4.3
4.2
3.8
4.7
4.0
3.5
4.2
2.9
4.8","10.8
12.3
11.2
14.7
13.0
8.0
21.1
16.3
11.2
8.4
10.4
17.3
9.6
9.3
11.7
20.3
10.6","9.4
9.5
7.4
9.2
9.5
8.7
13.2
10.6
6.9
6.6
7.8
19.0
9.2
9.5
10.1
11.7
11.2"
,Antique,,"Anini-Y Barbaza Belizon Bugasong Caluya Culasi
Tobias Fornier Hamtic
Lauan-an Libertad Pandan Patnongon San Jose San Remigio Sebaste Sibalom Tibiao Valderama","37.9
28.5
20.3
31.5
43.4
33.6
31.1
30.6
36.1
36.4
33.9
33.7
12.6
52.0
35.1
33.1
31.7
34.2","45.4
46.3
25.8
39.7
49.7
37.2
44.1
38.5
42.1
37.3
40.1
41.8
23.8
55.5
43.0
37.5
49.6
43.5","4.0
3.0
4.3
3.4
5.0
2.9
3.0
3.0
3.7
4.4
3.0
3.8
1.8
3.8
5.4
2.7
3.8
3.9","4.0
3.6
5.1
3.3
5.6
3.2
3.6
3.4
4.0
4.9
3.7
4.1
3.0
4.1
6.2
2.8
4.3
3.7","10.4
10.6
21.0
10.7
11.6
8.6
9.7
9.8
10.1
12.0
8.9
11.4
14.0
7.3
15.5
8.3
12.0
11.5","8.9
7.7
19.6
8.3
11.3
8.6
8.1
8.9
9.5
13.2
9.2
9.8
12.5
7.3
14.4
7.5
8.7
8.4"
,Capiz,,"Cuartero Dao Dumalag Dumarao Ivisan Jamindan Ma-ayon Mambusao Panay Panitan Pilar Pontevedra
President Roxas Roxas City
Sapi-An Sigma Tapaz","40.9
30.2
38.4
41.2
28.0
47.3
49.7
40.2
23.9
28.0
45.9
33.6
31.8
17.3
40.1
36.5
47.9","27.3
26.2
15.6
26.7
20.2
32.8
25.5
19.4
23.1
22.1
22.2
17.8
20.4
12.1
24.3
17.5
29.0","3.9
4.1
4.1
3.3
4.3
3.9
3.1
3.6
4.0
2.7
3.4
3.4
4.1
1.8
4.3
3.8
3.5","4.7
4.8
3.8
4.5
4.6
4.5
4.0
3.6
3.5
4.1
4.2
3.5
4.4
2.7
4.9
3.7
3.6","9.6
13.6
10.6
7.9
15.3
8.2
6.3
9.0
16.6
9.7
7.5
10.2
12.8
10.2
10.7
10.3
7.2","17.3
18.5
24.4
16.7
22.6
13.6
15.7
18.5
15.0
18.6
18.7
19.5
21.7
22.4
20.1
21.0
12.3"
