Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,Iloilo,,"Ajuy  Alimodian Anilao Badiangan Balasan Banate Barotac Nuevo Barotac Viejo Batad Bingawan Cabatuan Calinog
Carles Concepcion Dingle Duenas Dumangas Estancia Guimbal Igbaras Iloilo City Janiuay Lambunao Leganes Lemery Leon Maasin Miag-ao","34.8
36.5
30.3
23.1
24.0
26.6
19.7
35.2
46.9
38.4
24.6
29.8
51.5
47.4
22.7
30.7
25.2
30.3
21.0
33.0
4.9
27.1
40.7
14.0
34.8
35.3
37.4
28.1","30.9
30.4
31.5
18.5
30.4
19.8
15.9
26.2
33.1
26.8
15.2
29.6
46.8
48.4
17.3
22.3
16.0
22.1
15.8
29.2
7.6
25.8
23.2
15.2
33.8
33.7
22.6
26.1","3.7
3.1
3.8
2.5
2.5
4.0
2.1
3.3
4.6
4.8
2.0
2.4
3.8
4.3
2.2
2.6
2.0
3.4
2.7
3.6
0.9
2.6
3.4
2.3
3.6
2.8
2.8
2.2","3.6
4.0
4.5
2.9
3.9
3.3
2.5
3.8
4.7
5.6
2.0
3.5
5.2
4.7
2.8
3.1
2.3
3.2
2.4
3.8
1.0
2.8
3.3
2.9
4.2
4.4
2.7
2.9","10.6
8.6
12.4
10.9
10.5
15.1
10.6
9.5
9.7
12.6
8.3
8.2
7.4
9.1
9.6
8.4
7.7
11.3
12.9
11.0
17.4
9.5
8.3
16.2
10.2
8.0
7.4
7.9","11.5
13.2
14.2
15.8
12.9
16.6
15.9
14.5
14.3
20.7
13.1
11.8
11.1
9.6
16.2
13.9
14.5
14.3
15.0
12.8
13.3
10.9
14.1
18.8
12.3
13.1
12.1
11.0"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Mina
New Lucena Oton
Passi City Pavia Pototan  San Dionisio San Enrique San Joaquin San Miguel San Rafael
Santa Barbara Sara  Tigbauan Tubungan Zarraga","21.2
26.9
18.0
36.5
10.6
18.8
43.2
34.5
36.1
18.4
39.0
14.7
31.7
24.9
37.4
12.2","15.5
16.8
15.8
24.5
10.2
17.3
42.3
28.3
38.3
17.9
30.1
13.5
24.1
23.3
35.5
15.4","3.2
3.5
2.2
2.7
1.9
2.0
4.0
3.0
2.6
2.8
5.6
1.8
2.6
2.0
2.4
2.4","2.9
2.9
2.2
2.9
2.1
2.4
4.6
3.7
4.2
2.9
5.3
2.0
3.1
3.0
4.2
2.6","14.9
12.9
12.4
7.3
18.1
10.8
9.2
8.7
7.2
15.0
14.3
12.3
8.1
7.9
6.5
19.4","18.5
17.3
14.2
12.0
20.3
13.9
10.9
13.0
10.8
15.9
17.5
14.5
12.9
12.9
11.8
16.7"
,Negros Occidental,,"Bacolod City Bago City Binalbagan Cadiz City Calatrava Candoni Cauayan
Enrique B. Magalona Escalante City Himamaylan City Hinigaran
Hinoba-An (Asia) Ilog
Isabela Kabankalan City La Carlota City La Castellana Manapla
Moises Padilla (Magallon) Murcia
Pontevedra Pulupandan Sagay City  San Carlos City San Enrique Silay City Sipalay City Talisay City Toboso Valladolid Victorias City
Salvador Benedicto","3.4
21.2
23.4
26.2
38.3
45.0
44.2
21.9
27.8
30.5
29.1
34.0
27.0
36.1
35.4
17.9
32.4
26.9
40.4
25.1
20.1
17.8
27.7
28.0
21.3
18.7
39.4
11.1
34.5
14.4
18.4
50.1","11.2
20.7
28.9
27.3
39.1
41.9
55.2
24.7
25.6
31.4
30.6
52.8
39.1
33.8
40.9
19.3
29.7
28.4
40.6
20.7
20.4
24.6
28.0
34.0
21.8
17.6
45.9
15.7
31.8
21.2
19.2
55.9","1.0
2.9
4.0
4.2
3.2
6.2
4.5
2.8
3.8
3.6
3.2
4.9
3.7
3.1
3.6
2.8
5.5
5.0
5.7
3.4
3.7
2.1
4.1
3.9
4.5
3.2
4.4
2.0
6.2
2.7
3.0
7.9","2.0
3.0
4.4
3.4
3.4
5.2
4.7
3.2
3.8
3.6
3.9
5.8
4.9
4.0
3.2
3.4
5.2
4.8
5.5
3.8
3.3
3.2
3.2
4.4
5.1
3.7
5.0
2.9
6.1
3.4
3.0
8.1","29.3
13.6
17.0
16.0
8.4
13.7
10.3
12.6
13.8
11.8
11.1
14.3
13.7
8.6
10.3
15.4
16.9
18.6
14.0
13.5
18.5
11.8
14.9
14.1
21.0
17.3
11.2
18.1
18.1
18.7
16.2
15.7","18.2
14.5
15.1
12.5
8.7
12.4
8.6
12.8
14.8
11.4
12.6
10.9
12.4
11.7
7.8
17.5
17.6
16.8
13.5
18.4
16.1
13.1
11.6
12.8
23.4
21.2
11.0
18.7
19.2
16.3
15.4
14.6"
,Guimaras,,"Buenavista Jordan
Nueva Valencia San Lorenzo Sibunag","22.5
24.6
29.7
45.4
42.1","23.9
17.7
36.4
44.0
49.3","2.4
3.4
3.4
5.1
4.6","2.5
3.3
3.9
5.5
5.7","10.6
13.9
11.4
11.3
11.0","10.4
18.4
10.7
12.5
11.6"
Region VII,Bohol,,"Alburquerque Alicia
Anda Antequera Baclayon Balilihan Batuan Bilar Buenavista Calape Canduay Carmen Catigbian Clarin Corella Cortes Dagohoy Danao Dauis Dimiao Duero
Garcia Hernandez Guindulman Inabanga
Jagna Jetafe Lila Loay Loboc Loon Mabini
Maribojoc Panglao Pilar
Pres. Carlos P. Garcia Sagbayan
San Isidro San Miguel Sevilla
Sierra Bullones Sikatuna Tagbilaran City Talibon Trinidad Tubigon
Ubay Valencia Bien Unido","24.8
49.5
47.4
49.9
25.1
48.3
75.3
43.9
56.2
39.9
38.0
75.0
64.3
40.5
27.1
26.4
65.9
64.7
40.5
45.1
38.0
35.3
41.2
48.5
34.2
50.1
36.6
29.7
26.0
39.4
46.5
25.2
30.2
62.2
49.8
57.1
47.8
64.2
59.9
47.7
38.0
10.4
43.9
57.9
41.5
57.2
43.0
45.2","25.4
53.7
49.6
36.8
23.9
51.9
46.8
47.9
55.9
40.4
52.3
55.2
51.3
39.2
32.0
26.9
56.0
62.1
30.1
42.4
51.7
46.8
47.2
47.1
36.4
60.1
42.6
28.4
32.8
38.8
58.4
24.9
33.3
67.1
62.1
48.8
64.0
53.6
52.2
54.4
45.9
11.0
51.4
56.6
37.4
50.1
50.4
63.7","3.9
5.4
4.5
5.2
3.5
3.5
5.6
4.3
3.2
2.8
4.1
5.8
6.7
3.5
4.9
3.6
4.7
4.8
3.9
3.2
3.1
3.1
3.3
2.8
2.7
3.9
4.1
3.4
2.7
3.0
3.9
3.4
4.6
4.0
3.8
6.0
5.2
3.8
4.5
4.0
5.6
1.9
3.8
4.0
3.2
3.3
2.9
4.6","3.3
4.5
4.2
3.1
2.7
2.9
3.4
3.5
3.1
2.7
3.0
3.3
3.4
3.3
4.1
3.6
4.2
4.0
3.6
3.6
3.2
2.8
3.4
2.4
2.2
2.9
3.8
3.0
2.9
2.2
3.2
2.9
4.2
3.9
3.7
3.8
4.8
4.1
3.6
4.3
4.7
2.2
3.2
3.8
2.5
2.9
2.9
4.0","15.8
10.9
9.6
10.4
14.1
7.3
7.4
9.7
5.7
7.0
10.8
7.7
10.4
8.6
18.2
13.7
7.1
7.4
9.5
7.0
8.0
8.8
7.9
5.9
8.0
7.7
11.1
11.5
10.5
7.6
8.5
13.6
15.1
6.5
7.6
10.6
10.9
6.0
7.5
8.4
14.8
18.3
8.7
7.0
7.7
5.7
6.8
10.3","13.1
8.4
8.5
8.4
11.3
5.5
7.3
7.4
5.5
6.6
5.8
5.9
6.7
8.4
12.9
13.4
7.5
6.4
12.1
8.4
6.2
6.0
7.1
5.0
6.1
4.8
8.9
10.4
8.7
5.6
5.5
11.7
12.5
5.8
5.9
7.7
7.6
7.6
6.9
7.9
10.3
19.5
6.2
6.7
6.8
5.8
5.7
6.2"
,Cebu,,Alcantara Alcoy Alegria Aloguinsan Argao Asturias Badian,"47.9
53.0
62.7
61.7
41.7
52.3
60.5","51.2
47.1
62.4
49.4
43.6
44.2
53.5","6.4
5.9
5.0
6.1
2.5
4.6
3.5","4.5
5.2
4.7
4.9
2.4
3.5
3.2","13.2
11.2
8.0
9.8
6.0
8.8
5.8","8.8
10.9
7.5
9.9
5.4
7.9
5.9"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Balamban Bantayan Barili Bogo Boljoon Borbon Carcar Carmen Catmon Cebu City
Compostela Consolacion Cordoba Daanbantayan Dalaguete Danao City Dumanjug Ginatilan
Lapu-Lapu City Liloan Madridejos Malabuyoc Mandaue City Medellin Minglanilla Moalboal  Naga
Oslob Pilar
Pinamungahan Poro
Ronda Samboan  San Fernando San Francisco San Remigio Santa Fe Santander Sibonga Sogod Tabogon Tabuelan Talisay City Toledo City Tuburan Tudela","41.6
48.9
51.3
37.7
52.1
51.2
35.0
32.6
43.7
14.5
29.0
22.7
29.0
42.1
54.2
30.7
48.0
41.5
16.6
22.0
45.1
59.4
14.5
39.6
25.9
45.0
31.4
55.1
42.7
41.6
49.3
57.3
49.5
31.0
60.7
50.8
65.0
56.3
42.2
44.6
48.1
66.5
18.6
34.3
58.4
41.7","37.6
55.1
40.7
37.0
48.6
43.7
27.2
31.4
39.9
13.9
27.8
17.4
25.9
42.9
55.6
31.6
47.6
58.0
19.6
18.0
50.6
50.7
14.1
35.8
20.4
48.9
27.1
50.9
48.9
46.4
45.1
46.5
53.1
26.2
59.5
45.7
56.2
41.9
41.8
44.7
47.0
53.8
18.0
31.5
45.9
42.7","3.7
3.4
3.4
3.3
5.8
4.2
4.2
3.5
3.8
1.9
4.0
3.4
4.6
3.2
3.6
3.2
3.5
4.8
2.4
3.9
4.0
4.8
2.5
4.3
3.8
4.5
2.9
4.0
4.7
3.6
4.5
4.1
4.9
3.0
4.1
3.1
4.7
5.2
3.8
4.8
4.1
5.0
3.1
2.8
3.6
6.2","3.5
3.0
2.6
3.1
4.4
3.4
3.6
3.2
3.8
1.5
4.0
3.1
3.8
3.2
3.0
2.8
3.1
4.0
2.4
3.1
4.1
4.3
2.0
3.2
2.7
3.4
2.4
3.4
4.4
3.3
4.1
3.9
4.0
3.5
4.0
3.2
5.4
4.2
3.2
3.8
3.3
4.8
2.6
2.3
2.6
6.1","8.9
6.9
6.6
8.7
11.0
8.1
12.0
10.6
8.8
13.0
13.8
15.1
15.9
7.7
6.7
10.5
7.3
11.5
14.2
17.8
8.8
8.1
17.4
10.9
14.7
10.0
9.1
7.3
11.0
8.6
9.1
7.2
9.9
9.7
6.8
6.1
7.3
9.3
8.9
10.7
8.5
7.6
16.7
8.1
6.1
14.9","9.2
5.5
6.5
8.5
9.0
7.8
13.1
10.2
9.6
10.7
14.5
18.0
14.7
7.4
5.4
9.0
6.6
6.9
12.2
17.3
8.0
8.4
14.4
9.0
13.4
6.9
8.7
6.8
9.0
7.1
9.1
8.4
7.5
13.2
6.8
7.0
9.6
10.1
7.7
8.5
7.1
9.0
14.3
7.1
5.7
14.2"
,Negros Oriental,,"Amlan Ayungon Bacong Bais City Basay
Bayawan City Bindoy Canlaon City Dauin
Dumaguete City Guihulngan Jimalalud
La Libertad Mabinay Manjuyod Pamplona  San Jose Santa Catalina Siaton
Sibulan Tanjay City Tayasan Valencia Vallehermoso Zamboanguita","25.7
49.7
24.2
54.3
50.9
50.9
56.7
54.0
33.1
9.5
58.6
65.3
55.9
56.6
35.5
47.3
26.2
53.0
49.6
21.1
29.2
57.4
36.0
43.8
38.9","24.1
51.6
20.8
37.2
45.8
42.6
59.9
35.4
32.4
7.4
45.0
50.2
50.2
48.8
42.5
35.5
28.7
39.5
48.5
17.4
27.1
48.5
27.3
47.2
39.1","4.9
4.1
2.9
3.7
6.4
7.8
5.7
6.6
3.8
1.6
4.8
4.1
4.1
4.0
4.3
4.6
3.5
4.4
4.4
3.4
3.4
4.2
3.3
5.8
5.0","4.9
3.7
2.5
3.0
5.8
3.3
3.7
4.4
3.4
1.4
3.2
3.7
3.5
3.4
3.4
3.0
4.4
3.6
3.6
2.5
3.1
3.5
2.5
5.1
5.0","18.9
8.3
12.1
6.9
12.6
15.3
10.1
12.3
11.4
17.0
8.2
6.3
7.4
7.1
12.2
9.7
13.2
8.2
8.8
15.9
11.6
7.2
9.2
13.1
12.8","20.3
7.2
11.9
8.1
12.6
7.7
6.2
12.3
10.6
18.6
7.1
7.3
6.9
7.0
8.1
8.5
15.3
9.1
7.5
14.6
11.4
7.2
9.2
10.7
12.7"
,Siquijor,,"Enrique Villanueva Larena
Lazi Maria San Juan Siquijor","29.8
21.0
40.1
36.3
39.5
28.9","28.2
21.0
39.5
39.1
42.9
27.0","3.8
3.0
4.7
3.9
4.9
2.7","4.0
2.6
3.5
3.3
4.0
2.4","12.8
14.4
11.7
10.6
12.5
9.4","14.0
12.3
8.8
8.3
9.3
8.7"
Region VIII,Eastern Samar,,"Arteche Balangiga Balangkayan Borongan Can-avid Dolores
General MacArthur Giporlos
Guiuan Hernani Jipapad Lawaan Llorente Maslog Maydolong Mercedes Oras Quinapondon Salcedo
San Julian San Policarpo Sulat
Taft","48.7
36.9
41.3
26.4
44.3
44.0
47.3
44.3
35.1
42.3
41.3
34.0
41.3
57.8
43.9
44.3
42.5
50.3
40.1
32.4
38.2
28.9
34.9","55.8
44.2
48.6
37.6
50.0
50.2
48.8
44.9
42.0
48.7
60.6
45.7
47.2
60.2
49.1
39.6
51.1
51.9
45.8
45.2
46.4
42.0
42.2","4.1
4.0
4.0
1.6
2.9
2.9
2.8
4.1
2.4
4.2
4.9
4.0
2.6
6.0
3.5
4.7
2.6
3.7
2.7
3.4
3.6
2.9
2.7","4.5
4.8
5.1
2.9
3.8
3.8
4.2
4.2
3.7
4.8
5.2
5.0
3.5
5.8
4.2
4.1
4.0
4.2
3.9
4.4
4.6
4.7
3.9","8.5
10.7
9.7
6.1
6.5
6.6
6.0
9.2
6.7
10.0
11.9
11.7
6.2
10.3
7.9
10.7
6.1
7.4
6.8
10.4
9.4
10.0
7.9","8.1
10.9
10.6
7.7
7.5
7.5
8.6
9.3
8.9
9.9
8.6
10.9
7.4
9.6
8.5
10.3
7.9
8.2
8.5
9.8
10.0
11.1
9.2"
,Leyte,,Abuyog Alangalang Albuera Babatngon Barugo Bato Baybay Burauen,"37.3
35.7
28.9
38.6
33.2
35.1
29.5
32.1","35.4
34.9
33.6
38.6
36.6
36.4
31.0
33.3","2.3
2.2
2.9
2.9
2.7
2.7
1.6
2.0","2.0
2.5
3.6
3.1
2.8
2.7
1.7
1.9","6.1
6.1
10.2
7.6
8.0
7.8
5.5
6.2","5.5
7.1
10.7
8.0
7.6
7.5
5.4
5.6"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Calubian Capoocan Carigara Dagami Dulag Hilongos Hindang Inopacan Isabel Jaro
Javier (Bugho) Julita Kananga Lapaz
Leyte MacArthur Mahaplag Matag-ob Matalom Mayorga Merida Ormoc City Palo Palompon Pastrana San Isidro San Miguel Santa Fe Tabango Tabontabon
Tacloban City Tanauan Tolosa
Tunga Villaba","34.0
38.1
31.4
30.6
32.2
29.6
24.1
30.1
18.4
35.1
38.0
29.9
37.8
29.1
47.8
34.2
41.8
37.5
33.0
31.9
28.3
25.5
19.5
30.1
41.6
37.4
39.2
33.2
37.7
34.4
10.9
25.1
18.2
21.2
36.5","36.2
39.8
32.1
35.0
33.6
30.6
32.1
30.7
23.7
37.4
36.7
33.3
40.6
35.8
46.7
36.6
41.2
35.7
34.7
36.4
32.0
28.3
24.6
30.3
35.9
41.2
35.9
31.4
40.8
36.8
20.5
27.0
24.4
23.1
35.4","2.1
3.3
1.9
2.5
2.3
2.0
2.7
3.1
2.3
2.3
3.0
2.8
3.3
2.5
3.3
2.9
3.4
3.7
2.7
3.2
2.9
1.6
2.1
2.0
3.0
3.5
3.3
3.4
3.7
4.1
1.5
2.0
2.5
3.1
2.9","2.4
3.6
2.2
2.0
2.3
2.1
3.1
3.3
2.4
2.6
2.7
2.9
3.8
2.7
3.5
3.0
3.6
3.4
2.7
3.1
3.2
1.8
1.8
2.0
2.9
3.6
3.2
3.9
4.4
3.4
1.5
2.3
2.8
3.5
2.4","6.2
8.6
6.1
8.3
7.0
6.7
11.1
10.3
12.6
6.6
7.8
9.2
8.8
8.5
7.0
8.4
8.1
9.9
8.1
10.0
10.3
6.3
10.7
6.5
7.3
9.4
8.4
10.2
9.7
11.9
13.8
8.1
13.8
14.5
7.8","6.7
9.0
6.9
5.8
6.9
6.9
9.8
10.8
10.1
6.9
7.4
8.6
9.4
7.5
7.4
8.1
8.6
9.4
7.6
8.4
10.0
6.5
7.4
6.5
8.0
8.6
9.0
12.3
10.7
9.2
7.1
8.5
11.4
15.3
6.9"
,Northern Samar,,"Allen Biri Bobon Capul
Catarman Catubig Gamay Laoang Lapinig  Las Navas Lavezares Mapanas Mondragon Palapag Pambujan Rosario
San Antonio San Isidro San Jose San Roque San Vicente Silvino Lobos Victoria
Lope De Vega","21.4
39.4
34.2
38.5
29.8
47.1
40.4
39.5
54.4
58.8
51.1
54.8
42.6
50.4
47.3
39.3
28.3
35.0
32.2
49.3
30.1
59.8
34.7
52.5","31.5
50.7
45.9
41.6
43.4
52.8
48.7
47.6
51.9
57.1
45.6
58.4
52.2
52.1
51.6
41.6
32.5
43.6
46.1
52.7
43.5
64.8
37.7
58.2","2.7
5.0
3.3
4.2
2.2
2.9
3.1
2.2
4.5
3.6
3.9
4.4
3.6
3.3
3.7
3.9
4.2
3.5
3.4
3.9
4.6
4.4
3.4
4.0","2.6
4.6
3.3
4.6
2.5
3.0
3.4
2.8
4.5
3.2
3.6
5.1
3.6
2.8
3.6
3.9
4.1
3.9
3.4
4.0
4.7
3.8
3.7
4.7","12.6
12.6
9.5
10.8
7.4
6.2
7.6
5.4
8.2
6.2
7.6
8.0
8.6
6.6
7.8
10.0
14.9
9.9
10.6
7.9
15.1
7.3
9.9
7.7","8.3
9.1
7.1
11.1
5.8
5.6
6.9
5.8
8.7
5.6
7.8
8.8
6.8
5.3
7.0
9.4
12.6
8.9
7.3
7.6
10.8
5.9
9.8
8.0"
,Samar (Western),,"Almagro Basey Calbayog City Calbiga Catbalogan Daram Gandara Hinabangan Jiabong Marabut Matuguinao Motiong Pinabacdao
San Jose de Buan San Sebastian Santa Margarita Santa Rita
Santo Nino Talalora Tarangnan Villareal
Paranas (Wright) Zumurraga Tagapul-an
San Jorge Pagsanghan","28.5
30.9
28.8
40.0
21.1
47.2
37.9
36.1
48.4
35.0
64.2
60.6
39.1
55.0
49.0
36.1
42.0
38.6
37.7
44.9
36.5
38.3
46.1
38.3
36.6
31.8","39.5
39.1
38.7
39.0
33.6
51.2
43.8
43.8
41.7
44.4
57.5
45.9
45.0
57.8
43.0
40.7
41.3
45.3
47.0
46.3
42.1
42.5
49.9
42.5
42.3
40.6","2.8
2.4
2.0
3.5
2.2
2.9
2.7
3.4
4.3
2.9
5.3
5.4
3.3
5.0
4.8
2.8
3.1
4.1
4.1
3.4
2.9
2.6
3.1
4.1
3.1
3.6","3.4
2.6
1.9
3.0
2.6
3.1
2.2
3.5
3.7
3.2
4.7
3.9
3.2
5.2
3.7
3.5
3.2
4.7
4.9
3.2
2.8
2.9
3.8
4.2
2.8
3.5","9.7
7.9
7.0
8.6
10.3
6.1
7.0
9.3
9.0
8.2
8.2
9.0
8.3
9.1
9.8
7.6
7.4
10.7
10.9
7.5
7.9
6.8
6.8
10.6
8.3
11.3","8.7
6.7
4.9
7.6
7.7
6.0
5.0
8.1
8.8
7.3
8.1
8.6
7.0
8.9
8.6
8.6
7.8
10.4
10.3
6.9
6.6
6.9
7.7
9.9
6.7
8.7"
,Southern Leyte,,"Anahawan Bontoc Hinunangan Hinundayan Libagon Liloan Maasin City Macrohon Malitbog
Padre Burgos Pintuyan  Saint Bernard San Francisco
San Juan (Cabalian)) San Ricardo
Silago Sogod
Tomas Oppus Limasawa","22.4
35.8
27.6
17.5
30.3
30.1
23.9
25.9
25.4
20.5
30.6
34.0
26.3
22.8
27.6
30.6
31.3
27.3
25.1","29.7
43.2
37.6
31.7
42.1
39.3
31.4
33.6
40.6
33.9
43.2
42.7
36.7
33.6
42.5
38.1
36.8
39.7
37.3","3.2
2.5
2.4
2.5
3.1
2.5
1.9
2.2
2.4
3.0
2.9
2.6
2.6
3.0
3.7
3.4
2.4
2.7
4.1","3.7
2.7
2.7
3.3
3.7
3.2
2.0
2.6
2.9
3.7
3.5
3.0
2.6
3.0
3.4
4.2
2.6
2.8
4.9","14.1
7.1
8.7
14.3
10.2
8.4
8.1
8.6
9.3
14.5
9.5
7.6
9.9
12.9
13.4
11.0
7.6
9.9
16.4","12.5
6.3
7.1
10.3
8.9
8.1
6.3
7.8
7.2
10.9
8.1
6.9
7.2
9.0
8.0
11.0
7.1
7.0
13.1"
,Biliran,,Almera Biliran Cabucgayab Caibiran,"20.5
23.3
26.3
27.6","26.8
33.2
35.2
38.3","3.2
3.6
3.6
2.9","3.5
4.2
4.1
4.0","15.8
15.6
13.5
10.4","13.0
12.7
11.5
10.3"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,Culaba Kawayan Maripipi Naval,"27.4
24.2
20.1
19.9","35.5
33.5
28.0
27.8","3.4
3.4
2.7
2.5","3.5
3.5
3.5
2.4","12.6
13.9
13.3
12.6","9.9
10.4
12.5
8.6"
Region IX,Zamboanga del Norte,,"Dapitan City Dipolog City Katipunan La Libertad Labason Liloy Manukan Mutia
Piñan Polanco
Pres. Manuel A. Roxas Rizal
Salug
Sergio Osmeña Sr. Siayan
Sibuco Sibutad Sindangan Siocon Sirawai Tampilisan
Jose Dalman (Ponot) Gutalac
Baliguian Godod
Bacungan (Leon T. Postigo) Kalawit","46.7
33.0
58.9
43.0
54.7
50.9
58.9
42.9
45.8
47.1
59.6
47.0
54.8
59.3
72.3
66.0
33.0
58.2
59.8
65.5
52.0
63.4
71.1
70.4
60.9
63.9
60.4","40.0
26.8
57.1
45.0
48.9
51.4
68.2
57.8
55.5
47.3
66.3
37.3
60.2
65.8
79.9
68.2
54.1
56.8
63.6
61.7
45.0
68.0
70.4
75.3
71.1
66.0
65.8","5.3
5.5
6.0
7.2
6.6
6.0
5.6
6.9
5.9
6.0
4.9
6.4
6.3
5.5
6.5
6.4
9.7
4.9
6.3
7.1
6.8
7.4
5.4
6.9
6.1
5.7
7.4","4.5
5.2
4.4
7.5
6.0
5.1
5.4
6.8
5.4
5.1
4.7
5.4
5.3
5.6
4.5
5.2
5.9
4.5
5.8
6.2
5.7
5.9
4.6
4.9
6.8
6.2
6.8","11.3
16.7
10.2
16.7
12.1
11.7
9.5
16.0
12.8
12.6
8.3
13.7
11.5
9.2
9.0
9.7
29.5
8.3
10.5
10.8
13.0
11.7
7.6
9.8
10.0
8.8
12.2","11.3
19.5
7.7
16.7
12.2
10.0
7.9
11.7
9.7
10.7
7.1
14.5
8.7
8.4
5.7
7.7
10.9
7.9
9.2
10.1
12.7
8.6
6.6
6.5
9.6
9.4
10.3"
,Zamboanga del Sur,,"Aurora Bayog Dimataling Dinas Dumalinao Dumingag Kumalarang Labangan Lapuyan Mahayag Margosatubig Midsalip Molave
Pagadian City Ramon Magsaysay San Miguel
San Pablo Tabina  Tambulig Tukuran Zamboanga City Lakewood Josefina
Pitogo Sominot
Vincenzo A. Sagun Guipos
Tigbao","27.7
29.2
37.1
35.5
28.4
35.6
33.7
29.6
37.6
28.7
27.7
37.6
24.0
17.3
25.8
27.7
30.8
32.1
30.0
28.3
19.7
31.2
24.4
30.7
35.3
34.7
28.3
34.5","31.5
43.6
46.8
43.1
38.8
42.8
45.9
33.9
53.0
35.9
39.0
52.7
26.5
21.0
36.6
41.6
47.0
47.6
38.0
36.5
19.9
48.4
40.9
49.8
54.5
46.5
36.0
44.5","3.6
5.0
6.3
5.5
5.1
5.1
6.1
5.2
5.3
4.7
6.2
5.4
4.1
2.7
4.6
5.5
4.9
6.7
4.8
4.9
2.7
6.4
5.5
5.3
6.5
6.1
5.7
6.9","4.0
6.1
6.8
5.0
5.2
4.6
6.4
4.6
5.7
4.9
6.8
6.4
4.1
2.7
5.2
6.4
5.8
7.8
5.3
5.2
2.0
7.8
7.4
7.9
7.1
6.3
5.7
6.3","12.9
17.1
17.0
15.6
18.0
14.3
18.1
17.4
14.1
16.4
22.5
14.4
17.0
15.7
17.9
19.8
15.9
20.9
16.1
17.3
13.7
20.6
22.3
17.2
18.4
17.7
20.2
19.9","12.7
14.0
14.5
11.6
13.3
10.7
14.0
13.5
10.7
13.5
17.4
12.2
15.6
12.9
14.1
15.4
12.4
16.4
14.0
14.3
10.2
16.1
18.1
15.8
13.1
13.4
16.0
14.2"
