Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,Zamboanga Sibugay,,"Alicia Buug Diplahan Imelda Ipil
Kabasalan Mabuhay Malangas Naga Olutanga Payao Roseller Lim Siay Talusan Titay Tungawan","46.4
29.6
31.5
38.2
29.3
39.6
57.2
34.8
40.8
41.3
46.5
41.1
42.6
55.3
38.2
51.1","54.0
40.2
43.9
42.4
32.2
36.7
68.9
40.5
36.4
61.7
63.3
51.2
48.3
66.5
45.1
59.5","6.0
4.9
5.7
6.4
4.3
5.7
7.7
5.2
5.8
6.8
6.0
5.8
6.3
8.1
5.0
6.3","6.3
5.4
5.8
5.4
3.6
4.0
5.7
5.0
4.1
6.8
7.0
4.9
4.7
7.8
4.5
5.8","12.8
16.5
18.1
16.6
14.7
14.3
13.5
15.0
14.3
16.4
12.9
14.2
14.8
14.7
13.1
12.3","11.6
13.5
13.2
12.8
11.0
10.8
8.2
12.3
11.3
11.0
11.1
9.6
9.7
11.8
10.0
9.8"
,Isabela City,,Isabela City,22.4,23.0,3.4,2.9,15.0,12.6
Region X,Bukidnon,,"Baungon Damulog Dangcagan Don Carlos Impasug-ong Kadingilan Kalilangan Kibawe Kitaotao Lantapan Libona Malaybalay City Malitbog Manolo Fortich Maramag Pangantucan Quezon
San Fernando Sumilao Talakag Valencia City Cabanglasan","40.2
42.4
39.9
39.5
43.0
50.0
33.8
48.1
52.7
43.7
38.1
31.7
47.8
31.6
33.9
41.6
41.1
42.5
39.1
53.8
35.1
50.5","49.1
52.2
39.9
42.0
46.1
50.7
51.3
46.8
54.8
40.8
35.5
34.6
61.4
33.5
33.5
53.2
52.0
52.1
40.2
50.3
35.8
45.2","5.3
4.9
5.2
4.0
5.5
4.8
5.3
4.0
4.1
5.1
4.8
3.2
6.8
3.2
4.7
4.2
4.3
5.6
7.5
4.5
3.5
4.1","4.7
4.9
4.8
3.3
4.7
5.3
5.1
3.2
4.6
4.6
3.5
2.7
5.6
3.3
3.7
3.8
4.0
5.1
7.0
3.9
3.1
5.2","13.1
11.6
13.1
10.0
12.7
9.5
15.7
8.2
7.7
11.6
12.5
9.9
14.2
10.1
13.7
10.0
10.4
13.3
19.3
8.3
9.9
8.1","9.7
9.4
11.9
7.9
10.1
10.4
9.9
6.9
8.3
11.3
9.9
7.8
9.1
9.9
11.0
7.1
7.7
9.8
17.3
7.8
8.5
11.4"
,Camiguin,,Catarman Guinsiliban Mahinog Mambajao Sagay,"47.4
47.5
36.5
37.4
54.5","58.4
45.7
45.9
36.2
42.1","6.4
6.2
5.0
4.9
7.1","4.3
5.4
4.0
4.1
5.4","13.4
13.0
13.6
13.1
13.0","7.4
11.7
8.7
11.4
12.8"
,Lanao del Norte,,Bacolod Baloi Baroy Iligan City Kapatagan,"34.8
33.2
45.8
23.1
42.5","40.2
48.3
47.0
24.4
47.6","5.2
4.5
5.3
2.4
4.8","4.7
3.9
4.0
1.9
3.3","15.0
13.5
11.6
10.5
11.4","11.7
8.0
8.5
7.6
7.0"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Sultan Naga Dimaporo Kauswagan Kolambugan
Lala Linamon Magsaysay Maigo Matungao Munai Nunungan
Pantao Ragat Poona Piagapo Salvador Sapad Tagoloan Tangcal
Tubad Pantar","48.9
46.4
38.4
35.1
36.3
46.6
45.2
37.8
42.5
51.9
40.6
48.3
57.1
45.9
66.5
50.5
34.4
39.4","59.9
49.5
41.7
37.0
31.0
59.2
43.7
59.3
67.5
67.9
59.7
66.8
56.3
62.0
69.4
67.4
48.3
57.5","4.4
7.5
4.5
4.0
6.2
4.5
7.0
5.7
5.3
4.5
5.3
4.7
6.3
5.4
8.5
7.1
3.9
4.1","3.8
4.5
3.3
3.1
5.1
3.8
4.8
5.6
3.6
4.1
4.2
3.9
4.6
4.5
5.8
4.3
3.1
3.9","9.0
16.1
11.6
11.3
17.0
9.6
15.5
15.1
12.5
8.7
13.0
9.7
11.1
11.8
12.7
14.0
11.3
10.4","6.4
9.1
8.0
8.5
16.5
6.4
11.0
9.5
5.4
6.1
7.1
5.8
8.2
7.3
8.3
6.4
6.4
6.7"
,Misamis Occidental,,"Aloran Baliangao Bonifacio Calamba Clarin Concepcion Jimenez Lopez Jaena Oroquieta City Ozamis City Panaon Plaridel
Sapang Dalaga Sinacaban Tangub City Tudela
Don Victoriano Chiongbian","39.1
48.5
66.6
38.7
43.7
76.5
36.4
48.0
33.5
30.6
38.2
44.3
51.7
42.7
63.8
43.7
73.7","42.7
37.7
44.9
41.4
38.8
62.3
40.9
49.3
30.7
29.8
40.2
35.2
43.9
38.9
43.1
38.0
65.7","6.0
5.8
5.7
5.6
6.0
5.4
4.7
6.0
4.5
4.3
5.6
5.4
5.3
5.8
5.9
5.6
6.6","2.9
4.0
4.0
3.3
3.0
4.2
3.5
3.5
3.1
2.4
4.3
3.0
3.3
3.4
2.5
3.2
5.2","15.3
12.0
8.5
14.5
13.7
7.1
12.8
12.4
13.5
14.1
14.8
12.2
10.2
13.6
9.3
12.8
8.9","6.9
10.6
9.0
7.9
7.6
6.8
8.6
7.2
10.2
8.1
10.7
8.5
7.5
8.8
5.8
8.4
7.8"
,Misamis Oriental,,"Alubijid Balingasag Balingoan Binuangan
Cagayan De Oro City Claveria
El Salvador Gingoog City Gitaguim Initao Jasaan Kinoguitan Lagonglong
Laguindingan Libertad Lugait Magsaysay Manticao Medina Naawan Opol
Salay Sugbongcogon Tagoloan Talisayan Villanueva","47.4
48.9
41.3
42.8
19.4
46.1
45.1
44.1
40.8
44.3
51.5
55.6
47.9
32.6
46.2
47.3
73.9
48.2
37.3
48.6
30.4
48.8
45.2
39.6
49.0
40.9","53.7
51.2
46.4
52.7
22.8
57.1
38.8
48.7
50.3
48.9
42.1
55.7
49.9
52.2
55.5
40.6
60.3
48.4
41.0
45.7
31.1
47.1
45.4
35.9
48.2
40.5","4.5
3.4
5.6
6.7
2.7
4.4
6.0
3.1
4.9
5.5
6.0
6.5
5.1
5.7
7.4
7.9
6.8
5.7
3.9
5.8
3.9
5.5
6.0
4.8
4.9
5.8","4.0
2.7
5.5
6.3
2.2
3.4
3.8
2.4
4.9
4.4
4.2
4.0
4.6
5.2
5.5
5.8
3.9
4.0
3.3
5.1
3.2
4.7
5.8
4.7
3.8
3.9","9.4
6.9
13.5
15.6
13.7
9.5
13.3
7.0
11.9
12.4
11.6
11.7
10.6
17.4
15.9
16.8
9.2
11.8
10.3
11.9
12.7
11.2
13.2
12.2
10.0
14.1","7.4
5.2
11.9
12.0
9.8
6.0
9.7
4.8
9.8
9.0
9.9
7.1
9.2
9.9
10.0
14.3
6.4
8.3
8.1
11.1
10.2
9.9
12.8
13.1
8.0
9.7"
Region XI,Davao del Norte,,"Asuncion (Saug) Carmen Kapalong
New Corella Panabo City
Island Garden City of Samal Santo Tomas
Tagum City Talaingod Braulio E. Dujali San Isidro","38.4
34.9
36.0
38.4
24.5
35.7
31.0
17.9
53.1
26.9
37.9","41.0
28.0
21.5
38.2
14.8
32.8
23.5
15.0
62.6
40.8
53.6","4.2
4.1
4.2
4.3
2.7
2.6
5.0
2.6
8.0
5.5
4.9","4.2
3.5
4.0
4.4
2.2
2.8
4.2
2.8
9.5
7.2
5.5","11.0
11.7
11.6
11.1
11.2
7.2
16.2
14.6
15.1
20.3
12.8","10.2
12.5
18.5
11.6
14.8
8.6
17.9
18.7
15.2
17.5
10.3"
,Davao del Sur,,"Bansalan Davao City Digos City Hagonoy
Jose Abad Santos (Trinidad) Kiblawan
Magsaysay Malalag Malita Matanao Padada Santa Cruz Santa Maria Sulop Sarangani
Don Marcelino","31.3
15.7
22.3
32.8
53.6
45.3
42.3
39.6
53.0
40.9
25.0
34.4
47.5
39.2
54.6
56.2","21.3
13.2
18.8
22.9
72.3
57.4
40.0
41.2
63.8
40.7
14.6
27.3
48.5
36.9
72.1
66.5","3.5
1.4
2.9
4.0
4.0
3.4
4.2
4.7
4.1
3.7
3.6
3.7
3.8
3.7
5.9
5.1","3.1
1.3
2.6
3.2
4.1
3.8
4.6
4.0
3.5
3.2
2.5
3.6
4.4
4.0
5.0
5.4","11.3
9.0
13.0
12.2
7.5
7.5
9.9
11.9
7.7
9.0
14.2
10.7
8.0
9.3
10.8
9.1","14.6
9.4
13.9
14.0
5.6
6.5
11.5
9.6
5.5
8.0
17.5
13.0
9.0
10.9
6.9
8.1"
,Davao Oriental,,"Baganga Banaybanay Boston Caraga Cateel
Governor Generoso Lupon
Manay
Mati  (Capital) San Isidro Tarragona","28.3
34.0
22.9
37.8
23.1
42.8
36.8
39.2
32.9
41.9
39.0","44.0
32.5
36.6
58.0
53.5
55.7
42.9
58.7
33.9
47.4
62.3","3.3
4.9
5.2
4.6
3.7
4.7
4.3
4.5
3.5
4.8
6.1","4.6
4.4
5.5
4.1
4.8
4.9
4.6
4.9
3.8
5.2
5.4","11.5
14.3
22.6
12.3
16.2
11.0
11.8
11.6
10.7
11.5
15.6","10.5
13.6
15.0
7.0
8.9
8.9
10.6
8.4
11.1
11.0
8.6"
,Compostela Valley,,"Compostela
Laak (San Vicente) Mabini (Doña Alicia) Maco
Maragusan (San Mariano) Mawab
Monkayo Montevista Nabunturan","31.7
36.5
31.9
35.2
34.6
34.7
25.7
36.5
27.2","26.5
54.7
29.8
30.6
35.6
32.7
32.9
41.3
28.3","5.2
3.3
4.6
3.1
4.4
4.9
3.1
3.9
3.1","4.7
4.3
4.1
2.6
4.7
4.5
4.2
4.6
3.9","16.3
9.0
14.3
8.9
12.8
14.2
11.9
10.6
11.5","17.7
7.8
13.9
8.6
13.2
13.8
12.7
11.1
13.7"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,New Bataan Pantukan,"30.7
34.4","42.0
28.3","4.8
4.7","5.5
4.8","15.8
13.8","13.0
17.0"
Region XII,North Cotabato,,"Alamada Carmen Kabacan Kidapawan City Libungan Magpet Makilala Matalam Midsayap M'lang Pigkawayan Pikit
President Roxas Tulunan
Antipas Banisilan Aleosan Arakan","40.6
39.4
30.6
20.0
31.5
43.9
29.0
35.8
31.5
32.0
33.0
51.9
36.7
34.7
33.3
48.4
45.6
45.8","44.6
50.4
35.0
19.2
32.1
36.7
23.2
34.9
33.0
34.5
39.0
48.5
35.3
38.2
30.9
43.8
47.1
48.0","4.9
3.9
3.8
3.3
4.4
3.8
3.4
3.6
2.3
5.2
3.2
4.6
4.5
3.7
4.8
6.2
5.3
4.2","4.4
5.7
3.3
2.6
3.8
3.8
2.7
3.2
2.9
3.1
3.4
3.6
3.8
3.7
4.6
4.5
5.1
4.7","11.9
9.9
12.4
16.5
13.8
8.5
11.5
10.1
7.2
16.1
9.6
8.9
12.3
10.5
14.5
12.9
11.5
9.2","9.9
11.2
9.5
13.7
11.9
10.3
11.5
9.1
8.6
9.1
8.7
7.3
10.8
9.6
14.9
10.2
10.8
9.8"
,South Cotabato,,"Banga
General Santos Koronodal City Norala Polomolok Surallah Tampakan Tantangan T'boli
Tupi
Santo Nino Lake Sebu","30.6
16.7
19.9
26.3
21.2
27.1
31.4
31.0
49.8
32.6
28.1
55.1","31.3
22.5
21.7
33.1
22.8
30.5
33.1
38.2
52.7
34.7
32.1
52.8","3.5
2.9
3.0
3.5
3.8
3.8
4.2
4.4
4.9
3.6
5.3
7.3","3.6
2.9
2.7
4.1
3.4
3.4
3.9
4.4
3.8
4.5
4.7
5.6","11.3
17.1
15.2
13.3
17.9
14.1
13.5
14.3
9.9
11.0
19.0
13.2","11.4
13.1
12.5
12.5
15.1
11.1
11.9
11.5
7.3
12.8
14.5
10.5"
,Sultan Kudarat,,"Bagumbayan Colombio Esperanza Isulan Kalamansig Lebak Lutayan Lambayong Palimbang
President Quirino Tacurong City Sen. Ninoy Aquino","41.9
45.5
31.3
25.5
47.3
37.1
58.8
34.2
50.0
31.9
19.6
40.9","46.9
54.4
33.2
26.8
50.6
46.0
51.1
41.4
63.7
31.7
18.5
47.6","4.6
5.6
5.3
3.6
4.9
3.4
6.7
3.7
5.5
4.6
2.8
3.8","4.5
5.7
3.5
3.3
4.9
3.7
5.6
3.9
4.0
4.2
2.5
4.6","11.0
12.4
17.0
14.3
10.3
9.1
11.5
10.9
10.9
14.3
14.3
9.2","9.5
10.5
10.5
12.3
9.6
8.1
11.0
9.4
6.2
13.1
13.6
9.6"
,Sarangani,,Alabel Glan Kiamba Maasim Maitum Malapatan Malungon,"32.3
37.2
31.3
37.7
32.5
43.9
37.9","41.0
47.0
45.0
52.2
42.8
54.1
45.3","5.5
3.3
4.3
5.0
4.0
7.0
3.8","4.9
4.2
4.9
5.8
4.2
6.0
4.1","17.0
8.8
13.6
13.2
12.2
15.9
10.0","12.0
8.8
11.0
11.2
9.9
11.0
9.0"
,Cotabato City,,Cotobato City,21.1,26.9,3.5,5.4,16.4,18.4
ARMM  1/,Basilan,,"Lamitan Lantawan Maluso Sumisip Tipo-Tipo Tuburan Akbar
Al-barka
Hadji Mohammad Ajul Ungkaya Pukan  Hadju Muhtamad Tabuan-Lasa","33.8
47.0
48.0
49.6
38.7
50.7
41.4
45.5
48.3
47.0
-
-","17.5
25.2
39.2
29.4
28.0
37.6
32.7
27.0
30.5
26.5
35.5
40.3","5.7
7.8
8.1
6.8
8.9
12.3
12.9
9.6
9.6
10.0
-
-","3.6
4.3
6.7
4.9
6.3
7.4
7.0
5.0
5.4
5.8
6.6
7.4","16.8
16.6
17.0
13.7
23.1
24.2
31.1
21.1
20.0
21.4
-
-","20.4
17.2
17.0
16.8
22.4
19.7
21.3
18.5
17.8
21.8
18.6
18.3"
,Lanao del Sur,,"Bacolod-Kalawi Balabagan Balindong (Watu) Bayang Binidayan Bubong
Butig Ganassi Kapai
Lumba-Bayabao (Maguing) Lumbatan
Madalum Madamba Malabang Marantao Marawi City Masiu Mulondo
Pagayawan (Tatarikan) Piagapo
Poona Bayabao  (Gata) Pualas
Ditsaan-Ramain Saguiaran Tamparan Taraka
Tubaran Tugaya Wao Marogong Calanogas
Buadiposo-Buntong Maguing
Sultan Gumander Lumbayanague Bumbaran Tagoloan II Kapatagan
Sultan Dumalondong Lumbaca-Unayan","33.6
28.7
36.8
36.5
25.3
35.0
30.6
30.2
41.7
24.3
34.0
27.9
23.3
28.8
33.0
27.6
32.8
37.1
38.8
38.6
31.9
25.6
33.0
37.4
30.3
30.9
40.3
39.7
27.6
46.1
39.8
31.0
33.0
40.5
30.1
34.1
45.7
29.4
46.0
34.8","29.4
34.4
42.9
33.9
36.8
42.6
37.1
34.8
43.0
38.8
36.8
32.6
46.7
37.7
29.2
34.5
39.4
54.2
43.5
37.0
28.3
27.5
41.9
33.2
39.9
38.0
44.4
45.3
25.5
46.2
53.9
38.6
29.9
47.3
55.7
37.8
59.3
32.3
51.4
36.0","9.1
6.8
9.1
9.1
7.2
10.1
7.6
7.1
11.2
5.6
10.8
6.1
6.4
6.8
7.7
4.6
7.7
10.0
9.8
9.0
8.1
6.2
7.5
9.8
7.1
8.4
9.0
11.8
6.3
11.0
9.6
8.6
7.3
10.2
7.9
7.9
13.3
7.7
15.6
11.0","4.1
4.7
7.0
4.9
5.7
7.0
6.1
4.9
6.5
5.7
4.7
4.5
7.0
5.1
4.7
4.7
6.9
10.2
7.3
4.4
4.7
4.7
6.1
4.4
5.8
5.4
7.3
7.9
4.2
7.5
10.0
5.8
4.1
6.8
9.7
6.3
9.3
4.8
10.5
6.9","27.0
23.7
24.6
25.0
28.4
28.7
24.8
23.4
26.8
22.9
31.9
21.9
27.5
23.5
23.4
16.6
23.6
26.8
25.2
23.2
25.4
24.0
22.6
26.3
23.5
27.2
22.4
29.7
22.8
23.8
24.1
27.6
22.1
25.1
26.3
23.2
29.0
26.3
33.9
31.6","13.9
13.6
16.3
14.5
15.5
16.5
16.4
14.0
15.1
14.8
12.8
13.9
15.0
13.7
16.0
13.7
17.6
18.8
16.7
11.9
16.5
17.0
14.6
13.4
14.6
14.3
16.4
17.4
16.4
16.2
18.6
15.0
13.6
14.5
17.4
16.6
15.6
14.8
20.4
19.1"
,Maguindanao,,Ampatuan Buldon Buluan  Datu Paglas,"36.1
45.1
47.3
47.2","51.9
53.4
50.7
48.4","9.8
6.9
14.3
8.0","6.2
6.9
10.6
5.2","27.1
15.3
30.3
16.9","11.9
12.9
20.8
10.8"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Datu Piang
Datu Odin Sinsuat (Dinaig) Shariff Aguak (Maganoy) Matanog
Pagalungan Parang
Sultan Kudarat (Nuling)
Sultan Sa Barongis (Lambayong) Kabuntalan (Tumbao)
Upi Talayan South Upi Barira
Gen. S. K. Pendatun Mamasapano  Talitay
Pagagawan Paglat
Sultan Mastura Guindulungan
Datu Saudi-Ampatuan Datu Unsay
Datu Abdullah Sangki Rajah Buayan
Datu Blah T. Sinsuat Datu Anggal Midtimbang Mangudadatu
Pandag
Northern Kabuntalan Datu Hoffer Ampatuan Datu Salibo
Shariff Saydona Mustapha","56.2
44.3
54.2
52.5
53.0
36.1
50.1
61.8
51.3
49.0
56.7
53.5
46.7
62.6
59.0
63.0
50.7
62.4
48.3
60.5
53.2
63.0
43.4
55.5
56.9
52.5
62.6
61.6
47.4
-
-
-","52.5
45.0
56.9
43.7
46.7
42.0
50.0
61.1
62.8
34.8
50.9
42.9
39.9
61.0
55.8
51.9
53.0
61.1
44.4
64.5
43.4
47.1
51.0
53.9
48.7
57.0
56.9
66.8
41.2
49.1
52.5
51.2","9.0
6.6
8.9
10.5
8.9
6.8
5.6
10.1
8.9
7.7
9.1
10.0
8.5
8.1
10.1
9.4
9.0
14.5
8.7
8.7
8.3
10.8
10.1
11.2
10.5
11.4
13.4
11.1
7.8
-
-
-","11.4
4.5
8.4
7.3
6.2
5.6
3.6
6.1
6.4
5.1
5.7
6.9
5.3
6.1
7.5
7.9
6.0
7.3
6.4
6.5
7.9
9.9
7.0
6.2
6.3
8.0
7.0
7.7
6.1
8.1
6.0
7.8","16.0
14.9
16.4
20.0
16.9
18.9
11.2
16.3
17.3
15.7
16.1
18.7
18.2
12.9
17.2
14.9
17.8
23.3
18.0
14.4
15.6
17.1
23.2
20.2
18.5
21.8
21.4
17.9
16.3
-
-
-","21.6
10.0
14.8
16.7
13.2
13.4
7.2
10.0
10.1
14.8
11.1
16.2
13.2
10.1
13.5
15.1
11.4
12.0
14.5
10.0
18.3
21.1
13.7
11.6
13.0
14.0
12.4
11.5
14.8
16.4
11.4
15.2"
,Sulu,,"Indanan Jolo
Kalingalan Caluang Luuk
Maimbung
Hadji Panglima Tahil (Marunggas) Old Panamao
Pangutaran Parang Pata Patikul Siasi Talipao Tapul Tongkil
Panglima Estino (New Panamao) Lugus
Pandami Omar","54.2
43.3
65.0
70.2
57.2
60.9
55.3
50.9
54.7
52.8
44.6
59.7
51.2
57.7
69.8
51.9
54.4
57.0
-","42.7
46.1
48.3
47.9
51.9
53.2
55.9
49.3
53.2
52.6
37.0
46.1
59.8
52.4
51.2
68.7
50.1
49.2
50.8","6.7
12.2
10.9
8.0
9.5
14.8
9.4
10.1
7.4
10.2
8.2
8.9
6.9
9.7
8.5
9.4
10.7
9.7
-","5.4
7.8
7.5
6.9
5.6
10.5
7.0
5.9
5.1
7.4
5.3
4.6
5.1
5.9
6.4
8.0
6.4
6.3
9.9","12.3
28.1
16.8
11.4
16.5
24.4
17.0
19.9
13.5
19.4
18.4
14.9
13.4
16.9
12.2
18.1
19.7
17.1
-","12.8
17.0
15.6
14.5
10.8
19.7
12.5
12.0
9.5
14.1
14.3
9.9
8.5
11.4
12.5
11.6
12.7
12.7
19.4"
,Tawi-tawi,,"Panglima Sugala (Balimbing) Bongao
Mapun (Cagayan De Tawi-Tawi) Simunul
Sitangkai South Ubian Tandubas Turtle Islands Languyan Sapa-Sapa Sibutu","52.8
39.4
46.2
32.4
36.6
43.7
45.2
43.4
40.0
45.7
34.7","44.9
27.7
35.2
30.4
31.7
36.4
35.3
28.6
38.0
37.2
38.9","9.5
6.2
8.1
8.2
9.1
7.8
8.4
18.9
7.0
8.7
7.8","6.6
4.1
5.7
5.7
7.5
4.7
6.1
13.0
6.5
5.3
6.9","18.0
15.8
17.5
25.3
24.8
17.8
18.6
43.6
17.4
19.1
22.6","14.6
15.0
16.2
18.6
23.8
12.8
17.4
45.4
17.1
14.2
17.6"
Caraga,Agusan del Norte,,"Buenavista Butuan City Cabadbaran Carmen Jabonga Kitcharao Las Nieves Magallanes Nasipit Santiago Tubay
Remedios T. Romualdez","34.1
24.6
28.0
37.1
48.6
39.0
52.3
34.2
23.0
55.5
39.6
38.3","38.0
27.6
28.4
40.6
45.7
39.9
53.0
28.6
28.3
47.7
39.2
41.0","3.3
2.2
3.4
5.1
5.0
6.9
5.3
4.6
2.9
7.0
5.0
5.0","3.2
1.8
2.7
5.2
3.7
4.0
3.5
4.3
3.1
4.9
4.1
4.7","9.7
8.9
12.1
13.8
10.3
17.7
10.1
13.3
12.7
12.5
12.6
13.1","8.5
6.3
9.6
12.7
8.1
10.0
6.6
15.1
10.9
10.2
10.5
11.5"
,Agusan del Sur,,"Bayugan Bunawan Esperanza La Paz Loreto Prosperidad Rosario
San Francisco San Luis Santa Josefa Talacogon Trento Veruela Sibagat","46.1
60.8
66.9
74.2
70.3
53.5
56.0
41.9
69.7
54.0
56.1
42.6
63.0
63.3","48.4
54.2
61.9
66.7
56.9
52.8
48.2
39.7
62.0
53.3
58.0
49.1
58.5
59.4","3.1
5.4
3.6
4.7
4.0
3.6
5.3
2.9
3.7
4.4
4.9
5.0
4.5
3.8","3.1
3.8
2.7
3.9
3.9
3.1
4.8
2.6
2.8
3.7
4.0
5.0
3.4
3.7","6.7
8.9
5.4
6.3
5.7
6.7
9.5
6.8
5.3
8.1
8.8
11.7
7.1
6.0","6.3
7.1
4.4
5.9
6.9
5.8
10.0
6.4
4.5
6.9
6.8
10.1
5.8
6.2"
,Surigao del Norte,,"Alegria Bacuag Basilisa (Rizal) Burgos Cagdiano Claver
Dapa
Del Carmen Dinagat General Luna Gigaquit  Libjo (Albor) Loreto
Mainit Malimono Pilar Placer  San Benito
San Francisco (Anao-Aon) San Isidro","47.6
35.3
65.1
46.9
60.6
38.8
44.0
40.7
55.1
50.6
45.2
59.8
29.9
42.5
51.2
54.4
30.6
48.2
44.6
49.6","57.2
50.6
55.7
53.2
55.6
49.8
52.2
58.9
57.6
55.4
59.6
54.1
54.2
57.0
50.3
62.8
47.7
62.6
48.8
51.7","4.9
5.3
4.3
6.3
4.8
4.2
3.7
3.8
5.1
4.8
5.1
5.0
4.0
4.5
4.9
5.3
3.5
7.1
4.3
6.0","4.9
5.4
4.1
6.0
5.1
4.7
3.7
4.2
5.1
4.3
4.8
4.7
5.1
4.1
5.1
4.4
4.2
5.1
4.4
5.6","10.4
15.0
6.5
13.5
7.8
10.9
8.3
9.3
9.2
9.5
11.4
8.3
13.2
10.7
9.6
9.7
11.5
14.8
9.6
12.2","8.5
10.7
7.3
11.2
9.2
9.5
7.1
7.1
8.9
7.8
8.0
8.7
9.4
7.2
10.2
6.9
8.9
8.2
8.9
10.8"
Region,,Province,Municipality/City,Poverty Incidence,,Standard Error,,Coefficient of Variation,
,,,,2006,2009,2006,2009,2006,2009
,,,"Santa Monica (Sapao) Sison
Socorro Surigao City Tagana-an Tubajon Tubod
San Jose","45.4
41.1
54.0
32.4
49.6
47.6
30.6
49.2","52.4
52.1
52.1
40.1
50.4
56.3
47.8
46.7","5.0
5.2
5.7
2.9
4.3
5.3
4.4
4.9","4.2
4.9
5.9
3.0
5.1
5.4
4.5
4.4","11.0
12.6
10.6
8.9
8.7
11.1
14.4
9.9","8.1
9.5
11.4
7.4
10.1
9.6
9.4
9.4"
,Surigao del Sur,,Barobo Bayabas Bislig Cagwait Cantilan Carmen Carrascal Cortes Hinatuan Lanuza Lianga Lingig Madrid Marihatag San Agustin San Miguel Tagbina Tago Tandag,"42.5
44.3
26.6
40.5
20.0
30.6
32.0
42.0
43.3
41.2
29.2
45.2
25.0
48.3
44.7
50.1
47.1
41.5
24.3","45.7
39.4
34.2
39.4
25.7
34.6
32.7
36.4
43.6
35.1
37.0
48.9
33.0
50.3
49.9
50.5
48.0
37.5
26.3","4.7
5.5
4.3
5.9
3.7
4.7
3.6
6.3
3.7
4.4
4.1
4.7
3.1
5.5
5.3
4.7
4.6
4.4
3.1","4.4
5.2
4.9
4.9
2.8
5.2
3.9
4.9
3.1
4.4
4.2
4.3
3.7
4.4
4.0
3.7
3.7
3.2
2.7","11.1
12.5
16.0
14.7
18.3
15.2
11.3
14.9
8.6
10.7
13.9
10.4
12.4
11.3
11.7
9.4
9.7
10.7
12.7","9.6
13.2
14.3
12.3
10.9
14.9
11.9
13.5
7.1
12.4
11.3
8.8
11.1
8.8
8.0
7.3
7.8
8.5
10.3"
Note:,,,,,,,,,
1/ The 2009 city and municipal level poverty estimates for ARMM were revised to reflect on the movement/creation of municipalities and barangays which were not considered in the preliminary estimation of the 2009 city and municipal level poverty estimates published in the NSCB website last 03 August 2013.,,,,,,,,,
