Municipality/City,ENGTYPE_1,1903,1918,1939,1948,1960,1970,1975,1980,1990,1995,2000,2007,2010,2015,2020
Agdangan,Municipality,0,0,0,3898,5410,7235,7163,7389,8207,9205,9946,11164,11567,12851,12764
Alabat,Municipality,4516,4567,4306,5607,8529,9830,10939,11385,11785,13787,14204,14789,16120,15630,15936
Atimonan,Municipality,11203,13087,18512,21474,32294,35478,37483,39894,46651,54283,56716,59157,61587,63432,64260
Buenavista,Municipality,0,0,0,0,6438,12987,14462,16246,20060,21376,22840,24798,29053,30047,31160
Burdeos,Municipality,0,0,0,3142,7855,10472,14229,14888,17982,20246,19635,23568,21662,23854,24644
Calauag,Municipality,3185,6195,13629,16875,37101,49113,54035,57907,64856,60941,65907,69475,69223,73139,71809
Candelaria,Municipality,0,8210,17686,21116,29921,44031,49384,54629,69969,80733,92429,105997,110570,117434,137881
Catanauan,Municipality,4108,5742,10416,11166,17168,34365,38473,42121,48019,52420,57736,65705,65832,71073,72752
Dolores,Municipality,4835,4835,6263,5612,9143,12037,13617,15352,18146,20749,23649,26312,27702,28891,32514
General Luna,Municipality,0,0,4106,4680,8123,13966,15193,16526,17997,20956,21068,23379,25373,26494,24804
General Nakar,Municipality,0,0,0,0,5494,8569,11751,12127,18323,21121,23678,24895,25973,29705,34225
Guinayangan,Municipality,3870,4053,15948,8390,16428,26278,26860,29174,32829,36775,37164,39074,41669,45155,44045
Gumaca,Municipality,5324,7540,12904,19131,27284,36366,39337,42143,48189,53568,60191,63778,69618,73877,71942
Infanta,Municipality,10283,15860,20331,19006,21868,21653,25271,27814,35564,39772,50992,60346,64818,69079,76186
Jomalig,Municipality,0,0,0,0,0,2862,4014,3972,4542,4371,5817,6111,6884,7417,7667
Lopez,Municipality,6549,13327,19948,22935,31558,49021,55849,58422,66037,75344,78694,86660,91074,95167,94657
Lucban,Municipality,10227,12913,13976,15060,17452,23157,23044,25826,30130,35128,38834,45616,46698,51475,53091
Lucena,City,9375,12108,21675,33092,49264,77006,92336,107880,150624,177750,196075,236390,246392,266248,278924
Macalelon,Municipality,4759,6442,6587,6775,10025,14787,16215,17167,19887,23094,22935,25986,26419,28188,27312
Mauban,Municipality,12021,12516,14832,14417,18703,29822,32653,37814,43740,47442,50134,55866,61141,63819,71081
Mulanay,Municipality,2149,3404,3957,5149,9859,23481,28011,31701,38659,43617,45903,48538,50826,53123,55576
Padre Burgos,Municipality,0,2216,5262,10029,16262,12765,13016,14078,15219,17635,18962,19877,20161,22460,23488
Pagbilao,Municipality,6085,6879,11379,12978,17303,26587,29304,31681,41635,49605,53442,62561,65996,75023,78700
Panukulan,Municipality,0,0,0,0,2704,6092,7657,7885,9815,10351,11311,11968,15015,16452,16376
Patnanungan,Municipality,0,0,0,0,0,5038,6371,7456,9447,9638,11034,12825,13865,14606,15052
Perez,Municipality,0,0,2967,3507,4741,5789,6464,7551,8609,10264,10454,11022,12039,12173,12767
Pitogo,Municipality,3454,4662,6835,7668,9229,12867,14840,15825,17086,18832,20558,21095,21380,23019,22798
Plaridel,Municipality,0,0,0,0,0,5665,6051,6386,7473,8666,9501,10069,10238,10935,10129
Polillo,Municipality,2164,4245,8084,7576,11978,16721,20058,20565,23183,24626,24105,27912,28125,30582,31908
Quezon,Municipality,0,2627,4450,5346,8095,10604,10465,10734,11345,13200,14594,15011,15142,15228,15886
Real,Municipality,0,0,0,0,0,10079,13231,14463,20475,27641,30684,33073,35189,35979,38678
Sampaloc,Municipality,1263,3074,4540,4053,6538,8370,8874,9365,11132,10977,12858,13534,13107,13907,13629
San Andres,Municipality,0,0,0,0,2815,9571,15956,17822,23716,25948,27184,29216,33586,35780,37454
San Antonio,Municipality,0,0,0,0,9847,14236,16204,17701,20786,22933,26419,30023,31681,33467,35891
San Francisco,Municipality,1330,0,3446,4338,8406,16954,25183,33928,41142,43457,48310,53286,57979,61473,62097
San Narciso,Municipality,2501,2752,5683,7006,7877,17876,24556,28958,33025,36535,38474,39828,45386,48461,51058
Sariaya,Municipality,12453,14158,25736,29904,42089,58997,66847,74148,91081,100709,114568,128248,138894,148980,161868
Tagkawayan,Municipality,0,0,0,11231,28664,32697,32187,31381,40221,40866,44290,46878,50833,51832,54003
Tayabas,City,14740,14983,18172,16989,25758,35166,37756,42137,54355,64449,70985,87252,91428,99779,112658
Tiaong,Municipality,9527,14211,27179,26454,26084,38725,43245,48606,60662,67403,75498,87707,91599,99712,106265
Unisan,Municipality,2692,5431,11464,9290,12285,15550,17318,18230,19851,21509,21252,23911,25186,26884,25448